2026-07-16 14:28:37.988 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.CspEventReactorManager checkCspClients[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) Successfully Connected to CSP: 216.221.209.61:7022  
2026-07-16 14:28:37.989 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.LoginWorkflow login[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 - login - sending login for user usbankTrial; compression=1; conflationIndicator= 
2026-07-16 14:28:37.992 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.CspEventReactorManager lambda$checkCspClients$9[1784233717991~CSPOneSecTimer-checkCspClients~1784233717976]) checkCspClients: connection 216.221.209.61:7022 is not ready yet, session.haveAllports=false, isLoggedIn=false 
2026-07-16 14:28:38.031 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processLoginResponse[1784233718029~]) 216.221.209.61:7022 - Login response status = Success. Reason = None 
2026-07-16 14:28:38.071 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow process_enum[1784233718070~]) 216.221.209.61:7022 - ENUM download from CSP is Sucessful; 0 values processed 
2026-07-16 14:28:38.138 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processListAdministrationInfo[1784233718138~]) 216.221.209.61:7022 - m_haveCDD=false; prevCddVersion=null; newCddVersion=2.606.0; m_isCMconnection=false  
2026-07-16 14:28:38.138 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processListAdministrationInfo[1784233718138~]) 216.221.209.61:7022 - CDD.VERSION: (2.606.0) 
2026-07-16 14:28:38.138 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processListAdministrationInfo[1784233718138~]) 216.221.209.61:7022 - CSP.VERSION: V7.8.1.1 
2026-07-16 14:28:38.138 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processListAdministrationInfo[1784233718138~]) 216.221.209.61:7022 - m_initialCDD=false; m_useLocalMap=false  
2026-07-16 14:28:38.139 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow setConflationType[1784233718138~]) 216.221.209.61:7022 - API is setting ConflationType to 1 
2026-07-16 14:28:38.172 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processConflationType[1784233718172~]) 216.221.209.61:7022 - process_conflation_type: response=5026=4|5001=0 
2026-07-16 14:28:38.214 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcSessionImpl getAndCreateNewCddVersionTokenMap[1784233718214~]) Creating new FieldDictionary mapped to cddVersion=2.606.0 
2026-07-16 14:28:38.215 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.FieldDictionary <init>[1784233718214~]) Setting up FieldDictionary and bootstraping CDD, fdCounter val: 3 
2026-07-16 14:28:38.217 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow process_cdd[1784233718214~]) 216.221.209.61:7022 - Saving to cached tokenMap (version=2.606.0) pTokenMap=com.theice.cfapi.net.FieldDictionary@4ab2f97b; m_session->cddVersionTokenMap.size=1 
2026-07-16 14:28:38.282 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow process_cdd[1784233718282~]) 216.221.209.61:7022 - CDD download from CSP is Successful; 5492 tokens processed 
2026-07-16 14:28:38.283 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcSessionImpl setTmpTokenMap[1784233718282~]) Updating tmpTokenMap on IdcSession with the FieldDictionary downloaded from CSP. 
2026-07-16 14:28:38.283 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcConnection loadCdd[1784233718282~]) 216.221.209.61:7022: Found TokenMap from IdcSession for cddVersion: 2.606.0 
2026-07-16 14:28:38.283 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcConnection loadCdd[1784233718282~]) 216.221.209.61:7022 - Loaded 5493 CDD entries; version=2.606.0 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processCsaCheck[1784233718321~]) 216.221.209.61:7022 - process_csaCheck: response=5001=0|13001=216.221.209.61|13101=7022|13001=216.221.209.61|13101=7023|13001=216.221.209.61|13101=7024|13001=216.221.209.61|13101=7025|13001=216.221.209.61|13101=7026|13001=216.221.209.61|13101=7027|13001=216.221.209.61|13101=7028|13001=216.221.209.61|13101=7029|13001=216.221.209.61|13101=7030|13001=216.221.209.61|13101=7031|13001=216.221.209.61|13101=7032|13001=216.221.209.61|13101=7033|13001=216.221.209.61|13101=7034|13001=216.221.209.61|13101=7035|13001=216.221.209.61|13101=7036|13001=216.221.209.61|13101=7037|13001=216.221.209.61|13101=7038|13001=216.221.209.61|13101=7039|13001=216.221.209.61|13101=7040|13001=216.221.209.61|13101=7041|13001=216.221.209.61|13101=7042|13001=216.221.209.61|13101=7043|13001=216.221.209.61|13101=7044|13001=216.221.209.61|13101=7045|13001=216.221.209.61|13101=7046|13001=216.221.209.61|13101=7047|13001=216.221.209.61|13101=7048|13001=216.221.209.61|13101=7049|13001=216.221.209.61|13101=7050|13001=216.221.209.61|13101=7051|13001=216.221.209.61|13101=7052|13001=216.221.209.61|13101=7053|13001=216.221.209.61|13101=7054|13001=216.221.209.61|13101=7055|13001=216.221.209.61|13101=7056|13001=216.221.209.61|13101=7057|13001=216.221.209.61|13101=7058|13001=216.221.209.61|13101=7059|13001=216.221.209.61|13101=7060|13001=216.221.209.61|13101=7061|13001=216.221.209.61|13101=7062|13001=216.221.209.61|13101=7063|13001=216.221.209.61|13101=7064|13001=216.221.209.61|13101=7065|13001=216.221.209.61|13101=7066|13001=216.221.209.61|13101=7067|13001=216.221.209.61|13101=7068|13001=216.221.209.61|13101=7069|13001=216.221.209.61|13101=7070|13001=216.221.209.61|13101=7071|5026=7 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processCsaCheck[1784233718321~]) 216.221.209.61:7022 - CspClient::process_csaCheck: m_isCsa=false, m_isSingleInstanceCSP=false, m_csaChecked=true 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig getHostConfig[1784233718321~]) ConnectionConfigImpl::getHostConfig(ENTRY): No HostConfig object mapped to hostInfoString (216.221.209.61:7023) 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig createHostConfigIfNotAvailable[1784233718321~]) ConnectionConfigImpl::getHostConfig(ENTRY): Creating a new hostConfig mapped to hostInfoString (216.221.209.61:7023) 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig recordHostConfig[1784233718321~]) new hostConfigMap entry for (216.221.209.61:7023); hostConfigMap.size()=3 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.LoginWorkflow processCsaCheck[1784233718321~]) 216.221.209.61:7022 - CspClient::process_csaCheck: Adding new hostConfig(216.221.209.61:7023) 
